20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cisco_asa_line_dancer_apr24.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cloudatlas.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cloudduke.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cmstar.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_netfilter.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_pp_zerot.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_reddelta.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_twisted_panda.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cobaltstrike.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cobaltstrike_evasive.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_codoso.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_coreimpact_agent.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_danti_svcmondr.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_darkcaracal.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_darkhydrus.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_deeppanda.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_derusbi.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dnspionage.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_donotteam_ytyframework.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dragonfly.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dtrack.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dubnium.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_duqu1_5_modules.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_duqu2.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dustman.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_emissary.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_apr17.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_sparc_sbz_apr23.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_triangulation_jun23.yar
